origin,dest,count,average_delay
EWR,CLT,795,39.66521739
MIA,PHL,1401,33.45945946
MIA,DFW,2952,38.81088561
MIA,LGA,3132,33.4837037
MIA,CLT,1170,39.44712991
MIA,DCA,2382,32.38666667
MIA,DEN,634,30.3935743
MIA,LAS,1088,28.68079096
MIA,IAH,1319,34.93386774
MIA,BOS,1858,36.85428254
MIA,TPA,1607,33.18923328
MIA,LAX,2149,36.18103448
MIA,JFK,1863,47.05222222
MIA,SJU,1950,31.68427095
MIA,SFO,820,38.06097561
MIA,ORD,2661,35.58271375
MIA,EWR,1062,39.79795918
MIA,MCO,2436,34.42349958
MIA,EGE,94,24.34782609
MIA,RDU,810,31.90207715
MIA,PHX,498,27.14649682
MIA,BWI,897,34.6056701
MIA,STT,751,37.09414758
MIA,STX,446,24.20792079
MIA,DTW,498,25.81142857
MIA,STL,483,39.08230453
MIA,IAD,506,35.73106061
MIA,ATL,880,40.89851485
MIA,SEA,271,27.10833333
MIA,BDL,315,31.74683544
MIA,MSY,495,36.30801688
MIA,SAN,310,25.16083916
MIA,MSP,343,31.20634921
MIA,BNA,5,22
MIA,TUL,39,28.22727273
MIA,MCI,160,34.58333333
MIA,SLC,145,35.61538462
MIA,SAT,162,36.40625
MIA,AUS,160,30.23076923
SLC,DFW,1547,36.84210526
SLC,MIA,144,58.82758621
SLC,CLT,87,21.6
SLC,PHX,436,31.21848739
SLC,PHL,85,20.92857143
DCA,DFW,2509,37.89721627
DCA,MIA,2380,35.56744186
DCA,LAX,537,37.25308642
DCA,ORD,2038,37.71354167
DCA,JFK,262,59.42763158
DCA,CLT,681,25.1
DCA,LGA,1155,31.4231738
DCA,BOS,1266,29.98786408
DCA,PHX,261,22.8411215
DCA,LAS,91,34
DCA,FLL,223,33.66666667
DCA,MCO,514,36.09139785
DCA,PBI,153,15.61764706
DCA,TPA,384,29.60544218
DCA,MCI,85,19.73076923
DCA,PHL,13,29
DCA,PWM,42,50
DCA,RSW,1,0
DCA,JAX,1,0
DCA,MSY,22,22
DCA,PVD,19,51.83333333
DCA,IND,22,24.71428571
DCA,BDL,3,88.5
BWI,MIA,899,32.50144928
BWI,DFW,1181,51.23913043
BWI,CLT,734,29.06049822
BWI,PHX,217,31.18681319
LGA,DFW,3341,40.11943128
LGA,MIA,3157,36.57942238
LGA,ORD,3751,40.38167331
LGA,PBI,83,26.19354839
LGA,DCA,1151,28.03628118
LGA,BOS,1072,25.36716418
LGA,CLT,877,33.94822006
LGA,PHL,40,24.4
MCI,DFW,1882,40.53120244
MCI,MIA,160,19.88888889
MCI,ORD,197,67.67326733
MCI,PHX,204,22.35051546
MCI,CLT,340,19.46902655
MCI,DCA,83,29.55555556
TUL,DFW,1610,36.17276423
TUL,ORD,226,21.36666667
TUL,MIA,39,12.72222222
LIT,DFW,9,25.42857143
PDX,DFW,1010,42.92134831
PDX,ORD,387,29.06060606
PDX,LAX,1,0
PDX,PHX,483,21.89256198
PDX,CLT,87,25.04545455
PDX,PHL,90,17.65217391
TPA,DFW,1829,35.92537313
TPA,LAX,176,27.78181818
TPA,ORD,802,43.69372694
TPA,MIA,1607,35.78199052
TPA,CLT,779,30.1423221
TPA,PHL,361,25.65648855
TPA,DCA,386,30.41666667
TPA,PHX,139,16.24444444
SMF,DFW,1052,51.52207792
SMF,PHX,427,24.528
SMF,PHL,48,15.9047619
SMF,CLT,79,22.91666667
MSY,MIA,491,24.04166667
MSY,DFW,1788,41.64485981
MSY,ORD,22,22.83333333
MSY,CLT,375,22.72649573
MSY,PHL,99,34.73333333
MSY,DCA,35,27.35714286
OMA,DFW,1081,43.11918605
OMA,PHX,168,25.44736842
OKC,DFW,1416,44.77807487
ONT,DFW,1120,42.00536193
ONT,PHX,318,25.248
MFE,DFW,1241,48.18082192
STL,DFW,2045,30.36588721
STL,MIA,483,40.17154812
STL,ORD,917,33.44827586
STL,LAX,541,33.61157025
STL,CLT,251,26.08510638
STL,PHX,302,29.76699029
SJU,MIA,1945,40.45779221
SJU,DFW,456,44.09589041
SJU,JFK,508,102.2932331
SJU,ORD,273,69.3963964
SJU,PHL,239,30.2
SJU,CLT,165,20.82692308
MKE,DFW,768,47.17857143
MKE,PHX,170,20.8372093
BNA,DFW,2193,44.20910384
BNA,LAX,482,31.87261146
BNA,MIA,6,21.66666667
BNA,CLT,357,19.62424242
DTW,DFW,1424,39.25555556
DTW,PHX,433,27.71428571
DTW,MIA,498,40.6
DTW,CLT,407,24.36434109
DTW,PHL,168,28.72881356
MSP,DFW,1561,39.37322515
MSP,MIA,345,30.96268657
MSP,ORD,1101,39.18
MSP,CLT,339,24.4040404
MSP,PHL,345,32.25490196
MSP,PHX,401,22.22916667
SJC,DFW,1192,32.78108108
SJC,ORD,532,32.39
SJC,PHX,426,25.18348624
SAN,DFW,2391,36.36781609
SAN,JFK,265,64.71153846
SAN,ORD,1064,26.84713376
SAN,MIA,309,30.38181818
SAN,PHL,246,26.57142857
SAN,PHX,485,29.05263158
SAN,CLT,227,23.16304348
RDU,MIA,805,26.68553459
RDU,DFW,1273,36.82451923
RDU,ORD,930,42.75375375
RDU,CLT,573,29.23152709
RDU,PHL,160,32.18604651
RDU,LAX,151,42.25862069
IAD,DFW,1006,53.485623
IAD,MIA,506,33.46863469
IAD,LAX,532,50.66477273
IAD,CLT,5,65
CLT,DFW,2019,31.2537931
CLT,MIA,1295,30.93789809
CLT,ORD,1298,39.89429175
CLT,IAH,870,41.23163842
CLT,JFK,689,39.4
CLT,LGA,865,34.08430913
CLT,PHL,856,28.08229426
CLT,SFO,535,41.14678899
CLT,FLL,619,27.00363636
CLT,DEN,522,35.3592233
CLT,DCA,671,30.1516129
CLT,RSW,345,30.02985075
CLT,MCO,805,29.95522388
CLT,PHX,797,27.08280255
CLT,EWR,798,39.65251989
CLT,TPA,774,28.52974504
CLT,BDL,474,26.90731707
CLT,LAX,544,30.76724138
CLT,MCI,342,26.48387097
CLT,BOS,820,32.92093023
CLT,SAN,230,38.04285714
CLT,PIT,646,28.02419355
CLT,ATL,723,30.47151899
CLT,LAS,443,33.88957055
CLT,BWI,733,32.77777778
CLT,ORF,187,27.73972603
CLT,PBI,354,30.8030303
CLT,BUF,333,32.98666667
CLT,MSP,338,33.35036496
CLT,SEA,321,25.96273292
CLT,RDU,575,29.09704641
CLT,IND,133,23.10714286
CLT,CLE,338,24.72815534
CLT,SJU,168,25.16129032
CLT,JAX,554,28.3503937
CLT,MSY,388,29.85093168
CLT,DTW,411,31.11486486
CLT,BNA,358,24.59210526
CLT,ALB,181,24.66666667
CLT,STT,74,28.3030303
CLT,AUS,126,20.53703704
CLT,RIC,409,30.09392265
CLT,STL,254,31.21818182
CLT,SYR,167,38.44444444
CLT,PVD,259,36.15178571
CLT,SMF,80,47.27777778
CLT,SAT,75,41.375
CLT,PWM,93,50.2
CLT,PDX,87,26.87804878
